"","Freq","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30"
"Autauga.County.AL",1,3.38610422607493,0.181792516623987,5.10414882285937,2.75311047651051,-1.34227862763177,0.632434398702777,-0.170706699937182,-0.0626750297529862,-1.33497568993829,-0.0454342953494755,1.31523895961441,0.0680783494217475,0.539264760287246,0.759242881156495,0.0680108407389674,-0.966800617543868,-0.257139506250676,0.309505242970679,-0.0406201030137399,0.518818783742234,-0.17909865706814,-0.367769795268484,-0.0587096760840402,0.0310630744149849,0.224050116608785,0.820804350805543,-0.35857089480262,-0.313924226508474,0.922873447553803,-0.0878286046622413
"Baldwin.County.AL",4,3.14743974103392,-1.40952136547521,4.36357551408367,4.03660598957771,2.23367869759134,-0.911716211072114,-0.555309474200125,-0.194600207261363,-0.206435365484905,-0.1849881205796,0.945541559576676,0.787398554221706,0.56885705252036,0.929774942437339,-0.856341448788681,-0.623399942278836,-0.353951579711985,0.750677926100142,-1.01251727038943,0.240042591219872,0.0394262299299612,0.0973274132986425,0.498764306572497,-0.0906170019364838,0.00753561683698726,-0.0183227644408236,-0.421034908880615,0.291736980885599,-0.155440309775276,0.116567764480917
"Barbour.County.AL",4,8.93659293524133,-0.760948835142786,-3.50064838702465,0.121396493730464,-0.362502087562681,1.31123425475531,0.396477071617093,-0.357839133799839,-0.140935916404366,1.11200794989778,0.0266487583681372,-2.82067569942518,0.795431957428748,-0.104814663817868,-0.995161256667921,1.0208419921085,1.18360644501856,-0.0344399535293054,-0.827996552139875,-0.947512387597965,-0.48272079915414,-1.66788758620273,-0.356591374004001,-2.05385294060908,1.23082417720217,-0.0825437044171429,-0.220845657439955,0.228862536717816,0.356767008478777,0.206429010943174
"Bibb.County.AL",1,5.4529661421082,-3.34382023458149,2.16038440967663,1.1295274650128,-1.65881278881787,0.154420004720945,0.740859863779813,1.51321222774944,-1.70855530850615,2.25992371342067,-0.42550907331042,-1.81082413016352,1.09190655831555,0.588818221215062,0.0965187126711247,-1.01345750157282,0.8994597573107,-0.647337573575927,-0.968856074350177,-1.3283071575966,-0.639091672085106,-0.196180118178221,-0.908216478355319,-0.991829147759736,0.078601707674185,0.514271194744866,0.294960348982796,-0.185270899736178,-0.313068115424893,0.303660562052562
"Blount.County.AL",1,3.03215829424033,-4.4733169350255,4.96713571014637,1.09775670818377,-1.12475268092455,-0.106435222662763,0.201324681501064,1.68032747143323,0.208171170484453,1.43003473669719,0.432712588014459,0.50863274579726,0.267361885070234,-0.2890450683694,0.0345827824073702,-0.834530165922057,0.342395582440181,-0.475182085510441,-1.09363993049318,0.267553160204739,0.312993618256287,0.464205255934446,-1.2684125644061,0.181602473513936,0.34469549494906,0.304771364132787,-0.0459024506953624,-0.506627301108582,0.593680225775585,0.243866958970868
"Bullock.County.AL",0,12.9466004364415,1.81159516065824,-10.4207273530484,-0.96150863458033,-0.991296782559687,6.10562067897421,1.15707818725863,-0.0927965616500775,0.966782247963052,1.05209018880424,1.07223423659882,-2.47897139888199,1.02714491758667,1.38966383139994,-1.88326393244053,2.55235767448417,-0.641225970023625,-1.77491292215809,-0.634158666850918,-1.24993107383441,0.870970047850802,-0.764041874052426,-0.0767683270876433,-1.76287732657027,0.577403036247046,1.17710346927177,0.808144291307507,1.45064116201105,-1.13158229773957,0.235403152315782
"Butler.County.AL",2,8.0684210453478,-1.44899656179791,-2.36469770261528,1.60518932942529,-0.719366155927879,0.763092706708998,0.440699047911597,-1.36263965296854,0.316535809203349,-1.07196778635181,2.20237464884389,-1.63686348285556,-0.124945680986806,-0.359950158689626,-0.0898627153835674,0.0760834925235586,0.175617363361192,-0.721586080710725,-1.13911272567946,-0.160185405266324,-0.121477316959583,-0.311199974028511,-0.507745295222415,0.111007849662244,1.12570085467161,0.460120479207967,-0.353073483534661,0.265121026214153,0.65087470108121,-0.0221537076929529
"Calhoun.County.AL",2,5.0618090674453,-1.35352058418764,0.873538263806829,1.87412361901491,-0.428146448640308,-1.50639043202221,-0.725472666659431,0.118451412634659,-0.615330961823172,-0.348426649864244,1.71224018657719,-0.540326066453438,0.659247213796063,0.139689898601246,0.81784509439328,0.284308183434321,0.128594520353384,0.0157661205063902,-0.15581946530066,-0.351422337099936,0.16306339153678,-0.966654191205572,-0.20540526661904,-0.207529138008201,-0.0508674108295423,-0.239118035451991,0.267095484162015,-0.316110212746169,0.058616393579103,-0.00943953170693124
"Chambers.County.AL",1,6.97374422241171,-1.33262472004896,-2.66490258628336,1.71581917104342,-0.257268728521809,0.208265398055934,0.910483452579066,-0.967401619058761,-1.03937726722879,-0.584293914724936,1.71858130635936,-1.9322984834591,0.361334876857928,0.49813178495715,1.07430897025935,-0.24171526037967,0.871842790594036,-0.716846521976733,0.333693060018986,0.673019322019528,-0.729949529949161,0.226453170406942,-0.855951464303669,-0.60481428968364,0.512694717707384,0.643028032263345,0.0637533755025457,0.437215089091117,-0.224442200320567,0.0160280035862885
"Cherokee.County.AL",1,3.01563641699209,-5.8341706585268,1.59573421188491,1.877467955913,0.263203742303582,-0.683919071401393,0.762711835974164,1.19506019110077,0.36318736255562,1.22749649753224,0.431006205208137,0.0826211970364776,0.254312043721892,-0.47035974760771,1.05182098286653,0.0165471625844698,0.188149373147562,-0.670312445111792,-0.744226384309964,-0.363049289513993,0.399646200349922,-0.796452471563329,-0.552544128823912,-0.675339996687178,-0.0837571558200127,-0.366541887808054,-0.070652363913939,-0.656331414370191,0.0197587904099083,0.37173342493486
