"","Fips","RowName","County","State","Ag.District","Freq","CountyArea","CountyHU","AnimalSales","CropSales","FruitNutSales","VeggieSales","AgLandAcres","Precincts","Votes","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Republicans.2012","Republicans.2008","Democrats.2012","Democrats.2008","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Gini.Coefficient","Child.Poverty.living.in.families.below.the.poverty.line","Management.professional.and.related.occupations","Service.occupations","Sales.and.office.occupations","Farming.fishing.and.forestry.occupations","Construction.extraction.maintenance.and.repair.occupations","Production.transportation.and.material.moving.occupations","White","Black","Hispanic","Asian","Amerindian","White..Asian","Sire.Homogeneity","Median.Age","lon","lat","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Injury.deaths","CA","S","MAR","CFS","ACFS","Mean.Alc","Max.Alc","Mixedness","elevation","Winter.Prcp","Summer.Prcp","Spring.Prcp","Autumn.Prcp","Annual.Tmax","Annual.Tmin","Winter.Tavg","Winter.Tmax","Winter.Tmin","Summer.Tavg","Summer.Tmax","Summer.Tmin","Spring.Tavg","Spring.Tmax","Spring.Tmin","Autumn.Tavg","Autumn.Tmax","Autumn.Tmin","temp","precip","FamilyRatio","MarriedHouseholdRatio","RenterOccupied","AveHousehouldSize","AveFamilySize","TotalFemale","MaleUnder20","Male20to24","Male25to44","Male44to54","Male55to59","MaleOver59","FemaleUnder20","Female20to24","Female25to44","Female45to54","Female55to59","FemaleOver59","HusbandWifeFamilyRatio","DemChange08","DemChange12","RepChange08","RepChange12","OtherRace","TempRange"
"Autauga.County.AL","01001","Autauga.County.AL","Autauga County","Alabama","BLACK BELT",1,6258323202,72845,8925000,12535000,185500,2523000,13211,20,24661,73.4357893,23.95685495,0.425773489,2.181582255,72.49405581,73.61363733,26.54236016,25.77302145,14.7,85.3,21.7,7.1,78.8,30043.21365,21.15,8.75,52077,42.3,10.45,0.405,14,29.4,16.35,28.9,0.5,11.2,13.55,77.55,17.7,2.2,0.75,0.4,78.3,0.63346775,36.2,-86.6444901,32.5363818,5.1,3.6,0.09,39,0.301,0.217,0.305,0.118,446.9,181.1,0.139,0.065,302.91,69.6,-0.068757258,-0.104695712,0.534234394,0.0000244389,0.0000244389,0.0000355808,0.000252197,-0.691500893,142.35,1525.0833335,1344.5,1409,1195,743.5,509,459.5,578.5,339.5,785,891,673.5,621,748.5,495.3333333,638.5,755,516.6666667,17.08333333,1400.6195,0.744968102467732,0.754580456718003,0.245932446466545,2.68,3.09,0.513129684264536,0.310549888968347,0.0579246490270616,0.267793292935376,0.152056908427114,0.057360081297753,0.146418112991929,0.282086993786158,0.0550317834440397,0.271944861081351,0.148739375758874,0.0556745946718092,0.186522391257767,0.339219330855019,-7.04677371073232,-9.74105239479201,-0.245327741720134,1.27929215856883,1.35,234.5
"Baldwin.County.AL","01003","Baldwin.County.AL","Baldwin County","Alabama","COASTAL PLAINS & GULF COAST",4,30149105356,606886,18763000,101620000,2986000,4976000,31445,48,94090,77.35147199,19.56530981,0.481453927,2.601764268,77.21982431,75.25947944,21.55080652,23.81192193,12.4,87.6,26.8,8.7,74.95,26630.5654,20.9,5.2,177131,43,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,84.3,9.55,3.65,0.65,0.6,84.95,0.721336,41,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,76.2,-0.314480369,0.073220388,0.402143866,0.00000915187,0.00000915187,0.0000315229,0.000145055,-0.947753893,41.925,1525.0833335,1344.5,1409,1195,770.25,557.5,513,623.5,402.75,803.5,897,710,657.75,770.25,545.25,677.75,787.5,568.25,19.08333333,1400.6195,0.69897512981689,0.780297550390022,0.274788193495491,2.46,2.88,0.510624639947329,0.262926588636262,0.0537355935243733,0.247993183550832,0.14627337548769,0.0666285483653976,0.213185915825893,0.245312617520334,0.0500273990265287,0.240563452922026,0.149072193748724,0.0707002331603434,0.244324103622044,0.284627866512874,-17.8339746471695,-9.21309700477975,2.70913922518349,0.174925047289147,1.25,212.75
"Barbour.County.AL","01005","Barbour.County.AL","Barbour County","Alabama","WIREGRASS",4,7894482060,39456,93467000,12098000,435000,118000,23801,18,10390,52.27141482,46.66025024,0.173243503,0.895091434,48.18963272,50.43852107,51.33281236,48.98538263,28.1,71.9,13.5,6,67.85,20663.4527,37.15,21.3,28560,32.5,24.85,0.464,34.15,26.15,14.9,20.1,2.05,8.95,27.9,47.4,46.5,4.7,0.25,0.35,47.65,0.4432095,38,-85.4054562,31.8706701,4.8,4.3,0.12,73.8,0.559,0.251,0.373,0.142,873.9,388.1,0.189,0.112,154.33,52.7,-2.048168342,-2.004164717,0.747505657,-0.000115273,0.000115273,0.000307287,0.000971287,0.650873936,173.4,1525.0833335,1344.5,1409,1195,764,501,470,601,339,783,903,663,627,768,485,646,779,512,17.33333333,1400.6195,0.684419551934827,0.638744234488915,0.332382892057026,2.47,2.8,0.469133554284882,0.234083424807903,0.0718990120746432,0.307972008781559,0.148463227222832,0.0624313940724479,0.198198897601118,0.253241207980747,0.0579147581709495,0.229562922133375,0.143932924462386,0.0704137877493983,0.244934399503144,0.21038535932153,-4.74658411380055,-9.10248611985458,3.80350221934623,8.09258878612873,0.9,263
"Bibb.County.AL","01007","Bibb.County.AL","Bibb County","Alabama","UPPER PLAINS & PIEDMONT",1,10315571150,54553,1953000,2246000,113000,16000,692,10,8748,76.96616369,21.42203932,0.194330133,1.41746685,72.82660333,72.44331328,26.152019,26.59648311,25.5,74.5,10,2.6,67.3,26875.00381,21.55,12.4,22189,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25,75.2,22.5,1.35,0.15,0.2,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,0.076,254.24,98.1,-1.889122744,-1.031048506,0.895458556,0.0000225861,0.0000225861,0.00014035,0.000412804,0.002645877,144.8,1625.5,1375.5,1427,1329.5,743.5,509,459.5,578.5,339.5,785,891,673.5,621,748.5,495.3333333,638.5,755,516.6666667,17.08333333,1462.405,0.722746133534515,0.725817675713292,0.244184584433547,2.6,3.04,0.463190050185468,0.247784732948541,0.0659295992195756,0.316640923502154,0.153076985610926,0.0596699455328835,0.181835311852271,0.25607687959299,0.0640663274919917,0.257772752967778,0.141605426794799,0.0628415300546448,0.217637083097795,0.278183716075157,-19.4553684733395,-18.0864799769379,6.2104371248863,5.71420628429877,0.6,234.5
"Blount.County.AL","01009","Blount.County.AL","Blount County","Alabama","MOUNTAINS & EASTERN VALLEY",1,7316556535,104094,229615000,13240000,167000,4828000,5140,26,25384,89.8518752,8.469902301,0.35061456,1.327607942,86.27182045,84.01945028,12.34413965,14.5135369,25.3,74.7,12.5,4.2,72.5,27774.18032,16.95,10.8,57063,29,12.2,0.422,15.8,24.1,16.15,24.8,1.2,15.85,17.9,89.15,1.05,7.7,0.3,0.6,89.45,0.8010005,38.3,-86.5672464,33.9774479,5.9,3.9,0.08,47.6,0.253,0.213,0.304,0.14,175.1,92.8,0.181,0.062,164.46,89.3,-1.092822644,-0.401257928,0.720653053,0.0000623047,0.0000623047,0.0000630892,0.000385099,-0.19935587,246,1545.5,1348,1446,1243.5,743.5,509,459.5,578.5,339.5,785,891,673.5,621,748.5,495.3333333,638.5,755,516.6666667,17.08333333,1418.082,0.749606080266939,0.808469860896445,0.194364630642321,2.63,3.02,0.50521614737797,0.281820746068683,0.0556025668147521,0.263979973203582,0.143431351808758,0.0638177843593541,0.187396408839779,0.263121546961326,0.0528314917127072,0.252589779005525,0.138708563535912,0.0650552486187845,0.227693370165746,0.321978361669243,-41.6413630987496,-31.3852359001788,6.76052144208578,4.26098330573365,1.2,234.5
"Bullock.County.AL","01011","Bullock.County.AL","Bullock County","Alabama","BLACK BELT",0,4885480643,11805,24766000,12535000,396000,121000,3359,17,4701,24.22888747,75.0904063,0.212720698,0.467985535,23.50620068,25.68790397,76.30590004,74.07202216,25.3,74.7,12,3.7,69.55,20651.69397,54.35,24.25,10915,51.6,28.8,0.533,50.85,19.05,15.45,23.55,5.15,7.75,29.05,22.05,72.45,4.7,0.25,0.15,22.3,0.57575025,38.7,-85.7172613,32.1017589,4.2,4.4,0.14,85.1,0.654,0.378,0.421,0.175,1403.9,409.1,0.157,0.134,333.96,102.5,-3.582386625,-3.121468431,1.089498007,-0.000438283,0.000438283,0.000739229,0.001946162,3.680545189,142.95,1377.5,1414,1420,1148,743.5,509,459.5,578.5,339.5,785,891,673.5,621,748.5,495.3333333,638.5,755,516.6666667,17.08333333,1361.313,0.637383177570093,0.493506493506494,0.31214953271028,2.46,2.77,0.458310426974528,0.236637347767253,0.0663058186738836,0.297699594046008,0.164411366711773,0.0732408660351827,0.191123550579768,0.262694922031188,0.0637744902039184,0.231307477009196,0.144942023190724,0.0669732107157137,0.23030787684926,0.170087976539589,1.37485667368473,-1.59292235510338,-6.20694309498255,2.8133349877203,0.35,234.5
"Butler.County.AL","01013","Butler.County.AL","Butler County","Alabama","COASTAL PLAINS & GULF COAST",2,7619722219,43374,127410000,4619000,342000,91000,2012,24,8685,56.31548647,42.78641336,0.149683362,0.748416811,53.53609766,56.49397466,46.03241423,43.13523535,25.2,74.8,11,3.2,74.35,22321.77111,34.2,21.25,20568,34,23.5,0.463,30.65,21.5,16.85,26.55,2.1,9.6,23.45,55.4,42.25,0.65,0.7,0.25,56.1,0.48558375,39.7,-86.6819689,31.751667,3.9,3.5,0.1,61.5,0.494,0.305,0.383,0.16,639.2,219.8,0.164,0.109,452.92,70.8,-2.06746854,-1.771502242,0.641033619,-0.0000943328,0.0000943328,0.00022052,0.000660422,0.212881453,104.2,1479,1555,1401,1301,756,513,473,595,352,784,896,672,629,760,499,649,771,527,17.5,1456.944,0.675892121069368,0.640878201777313,0.297255918030856,2.43,2.85,0.530338473289731,0.298231347834926,0.0542793250660703,0.227993494612726,0.142406993291319,0.0725757267737345,0.18111441173823,0.238095238095238,0.0572508776667567,0.239535511747232,0.142137006031146,0.0735439733549374,0.24943739310469,0.228088517163269,-0.808670654442145,-7.05155470182691,-0.33339783398773,4.91979689290284,0.8,243
"Calhoun.County.AL","01015","Calhoun.County.AL","Calhoun County","Alabama","MOUNTAINS & EASTERN VALLEY",2,8477582681,376375,73796000,13011000,167000,389000,4213,47,47376,69.23969943,27.85587639,0.553022627,2.351401554,65.304978,65.69188904,33.45483565,33.1708704,21.5,78.5,16.1,6.4,74.65,24610.49683,30.4,11.1,115770,37.7,18.5,0.453,25.8,28.3,15.75,23.55,0.45,11.65,20.3,74.65,19.9,2.85,0.75,0.45,75.4,0.597948,38.1,-85.8225133,33.7717061,5.2,5.1,0.09,50.7,0.388,0.244,0.332,0.139,663,185.4,0.169,0.076,553.33,78.4,-0.535635325,-1.07939551,0.546792588,-0.0000147895,0.0000147895,0.0000621074,0.000183564,-0.663589713,183.2,1396,1224.5,1353.5,1097.5,743.5,509,459.5,578.5,339.5,785,891,673.5,621,748.5,495.3333333,638.5,755,516.6666667,17.08333333,1288.161,0.667828695780778,0.701319244518966,0.312247786862733,2.44,2.91,0.517795094963398,0.277476563593116,0.0782496152231706,0.251661536308941,0.144431229886666,0.0674758639988807,0.168284578799922,0.247345103915565,0.0740764870675614,0.244722783243208,0.142159098312594,0.0678545833604795,0.223841944100593,0.250371729570692,-16.0230767113063,-16.7358743548334,5.43267986400668,5.98966095738871,1.4,234.5
"Chambers.County.AL","01017","Chambers.County.AL","Chambers County","Alabama","UPPER PLAINS & PIEDMONT",1,5265593030,50897,7378000,1681000,132000,120000,2345,23,13778,56.63376397,41.82755117,0.319349688,1.219335172,52.12933215,53.93821878,46.96835054,45.46001605,28.2,71.8,10.8,3.7,73.85,23437.68032,31.85,14.5,34459,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,58.95,37.95,1.45,0.35,0.2,59.3,0.49186725,40.1,-85.3918121,32.9179433,5,4.3,0.12,62.6,0.516,0.241,0.354,0.15,766.1,318.2,0.179,0.093,575.7,77.5,-2.26875538,-1.43784694,0.794081821,-0.0000368122,0.0000368122,0.000182338,0.0005229,0.037368526,200.45,1451,1310.5,1348,1122,736.5,495.5,446,565.5,326.5,778,887,669,609.5,741,478.5,626,748,504,16.44444444,1328.801,0.67401133998421,0.631562133958045,0.293547692528529,2.42,2.84,0.521759462224171,0.266699260526798,0.0612968282099859,0.245248426327691,0.148505775224592,0.0711972132249588,0.189782657405333,0.233531257002017,0.0516468742997983,0.236388079766973,0.146706251400403,0.0729330047053551,0.258794532825454,0.19827494409541,-7.99046105924109,-10.9452414464117,5.17087996110074,8.35109486720799,1.05,241
"Cherokee.County.AL","01019","Cherokee.County.AL","Cherokee County","Alabama","MOUNTAINS & EASTERN VALLEY",1,5289909824,57175,112635000,39443000,28000,121000,5419,25,10503,83.87127487,14.51013996,0.23802723,1.380557936,76.65441176,74.88968702,21.77287582,23.66341714,26.6,73.4,10.5,4.2,68.8,26915.90349,20.7,10.45,25208,24.2,16.1,0.439,24.2,24.6,15.55,20.25,1.4,13.25,25,92,5.1,1.2,0.15,0.55,92.15,0.8492775,43.9,-85.6542417,34.0695153,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,80.9,-1.445948308,-0.785579004,0.752514071,0.0000357426,0.0000357426,0.0000583121,0.000178412,-0.301576558,181.35,1470,1260.5,1325,1148,743.5,509,459.5,578.5,339.5,785,891,673.5,621,748.5,495.3333333,638.5,755,516.6666667,17.08333333,1321.689,0.705157161678901,0.783931669558254,0.214662149444758,2.42,2.89,0.504097887567817,0.246896337678461,0.0498913718187461,0.232541899441341,0.156424581005587,0.0747982619490999,0.23555453782154,0.231432715059919,0.0469429814517976,0.223341729638959,0.152965422486833,0.0721318983283719,0.27318525303412,0.252502335513146,-38.6811301421364,-33.3568055962944,11.7169875076737,9.63665812633542,1,234.5
