"","Var","v.test","Mean.in.category","Overall.mean","p.value"
"2","Graduate.Degree",36.4271743007516,13.2124338624339,6.44500642260758,1.58139062852707e-290
"3","Management.professional.and.related.occupations",27.6109090966483,38.3571428571429,29.8269107257547,8.23040569820675e-168
"4","Asian",23.2804151265023,3.5984126984127,1.07052023121387,7.00137431923298e-120
"7","Median.Earnings.2010",22.6644866886307,30944.886239418,25437.6549653301,1.00411758734018e-113
"8","Democrats.2016",21.5094475618789,47.5868919177249,31.6898834093462,1.27007860124604e-102
"10","HusbandWifeFamilyRatio",20.1354290938272,0.328665897605639,0.27910958074637,3.61171330352186e-90
"14","School.Enrollment",17.9477393663337,79.4867724867725,74.9856615285806,4.99839223634155e-72
"15","Freq",17.8436941517553,7.8968253968254,2.78998073217726,3.23579012237022e-71
"27","Total.Population",10.9110506003258,262081.425925926,97754.0353243417,1.02069849658242e-27
"31","AveFamilySize",8.73733389795854,2.98896825396825,2.92302504816956,2.38676251452289e-18
"64","Children.in.single.parent.households",-8.51193981051586,0.273452380952381,0.315802825947335,1.71047366638577e-17
"97","Republicans.2016",-23.3450770446596,46.0093760030688,63.5966680742065,1.54634800022996e-120
