"","County","Freq","Expected","Residual","Component"
"1840","1840",19,45.0382,-26.0382,-15.0536
"218","218",4,15.0605,-11.0605,-8.1229
"222","222",6,17.9278,-11.9278,-7.9358
"1842","1842",2,10.6019,-8.6019,-6.9792
"1252","1252",8,18.5632,-10.5632,-6.0109
"2962","2962",3,10.8934,-7.8934,-5.7196
"1757","1757",7,16.4347,-9.4347,-5.4162
"1347","1347",9,18.6041,-9.6041,-4.958
"2181","2181",2,8.3578,-6.3578,-4.8364
"2595","2595",17,28.735,-11.735,-4.7924
"2984","2984",1,6.3922,-5.3922,-4.5486
"2188","2188",2,7.945,-5.945,-4.4485
"2551","2551",11,20.3913,-9.3913,-4.3252
"205","205",2,7.7959,-5.7959,-4.309
"1747","1747",12,21.1782,-9.1782,-3.9776
"1341","1341",0,3.974,-3.974,-3.974
"1569","1569",4,10.3761,-6.3761,-3.9181
"2199","2199",11,19.7149,-8.7149,-3.8524
"2255","2255",4,10.196,-6.196,-3.7653
"2062","2062",5,11.4355,-6.4355,-3.6217
"1765","1765",6,12.7984,-6.7984,-3.6113
"2194","2194",6,12.7859,-6.7859,-3.6015
"2941","2941",2,6.962,-4.962,-3.5365
"1594","1594",1,5.2219,-4.2219,-3.4134
"1752","1752",12,20.2681,-8.2681,-3.3729
"79","79",1,5.1318,-4.1318,-3.3267
"1227","1227",5,11.0104,-6.0104,-3.281
"1823","1823",37,49.7467,-12.7467,-3.2661
"1767","1767",8,14.9036,-6.9036,-3.1978
"2777","2777",1,4.9704,-3.9704,-3.1716
"2218","2218",0,3.1601,-3.1601,-3.1601
"1754","1754",9,16.0932,-7.0932,-3.1264
"318","318",0,3.1156,-3.1156,-3.1156
"2931","2931",6,12.1402,-6.1402,-3.1055
"76","76",1,4.8995,-3.8995,-3.1036
"1653","1653",7,13.4482,-6.4482,-3.0918
"2238","2238",6,12.1078,-6.1078,-3.0811
"1970","1970",3,7.9342,-4.9342,-3.0685
"433","433",0,3.0137,-3.0137,-3.0137
"201","201",7,13.3394,-6.3394,-3.0128
"1887","1887",1,4.7841,-3.7841,-2.9931
"2537","2537",4,9.1964,-5.1964,-2.9362
"638","638",2,6.256,-4.256,-2.8954
"2261","2261",13,20.6471,-7.6471,-2.8323
"2116","2116",1,4.5937,-3.5937,-2.8114
"2573","2573",2,6.128,-4.128,-2.7807
"1979","1979",1,4.5593,-3.5593,-2.7787
"2930","2930",2,6.1198,-4.1198,-2.7734
"2257","2257",0,2.7593,-2.7593,-2.7593
"2903","2903",0,2.7491,-2.7491,-2.7491
"1156","1156",1,4.4489,-3.4489,-2.6737
"603","603",0,2.5091,-2.5091,-2.5091
"2278","2278",3,7.2369,-4.2369,-2.4805
"300","300",1,4.2276,-3.2276,-2.4642
"1854","1854",6,11.2609,-5.2609,-2.4578
"1761","1761",6,11.2561,-5.2561,-2.4544
"246","246",12,18.7374,-6.7374,-2.4226
"1753","1753",2,5.7158,-3.7158,-2.4156
"263","263",0,2.4143,-2.4143,-2.4143
"625","625",0,2.4066,-2.4066,-2.4066
"1730","1730",0,2.3938,-2.3938,-2.3938
"82","82",0,2.383,-2.383,-2.383
"2273","2273",0,2.3772,-2.3772,-2.3772
"1433","1433",0,2.3743,-2.3743,-2.3743
"331","331",2,5.6363,-3.6363,-2.3459
"2196","2196",3,7.0731,-4.0731,-2.3455
"752","752",1,4.0843,-3.0843,-2.3292
"1846","1846",4,8.4278,-4.4278,-2.3263
"1293","1293",0,2.2941,-2.2941,-2.2941
"1229","1229",0,2.2901,-2.2901,-2.2901
"650","650",3,6.9853,-3.9853,-2.2737
"2029","2029",1,4.0209,-3.0209,-2.2696
"1179","1179",20,27.966,-7.966,-2.2691
"391","391",6,10.9479,-4.9479,-2.2362
"1286","1286",0,2.2329,-2.2329,-2.2329
"2685","2685",0,2.2258,-2.2258,-2.2258
"1110","1110",3,6.9102,-3.9102,-2.2126
"905","905",9,14.6933,-5.6933,-2.206
"1290","1290",0,2.191,-2.191,-2.191
"1902","1902",5,9.5771,-4.5771,-2.1875
"1355","1355",1,3.929,-2.929,-2.1835
"911","911",1,3.922,-2.922,-2.1769
"2004","2004",1,3.9137,-2.9137,-2.1693
"333","333",1,3.8655,-2.8655,-2.1242
"2409","2409",0,2.1146,-2.1146,-2.1146
"1316","1316",1,3.8351,-2.8351,-2.0959
"1331","1331",0,2.0944,-2.0944,-2.0944
"421","421",0,2.0782,-2.0782,-2.0782
"1735","1735",1,3.8028,-2.8028,-2.0658
"2920","2920",0,2.0651,-2.0651,-2.0651
"3062","3062",0,2.0643,-2.0643,-2.0643
"480","480",0,2.038,-2.038,-2.038
"3089","3089",0,2.0107,-2.0107,-2.0107
"2959","2959",7,11.8815,-4.8815,-2.0055
"2404","2404",1,3.7315,-2.7315,-1.9995
"1814","1814",21,28.5489,-7.5489,-1.9961
"1214","1214",0,1.978,-1.978,-1.978
"2925","2925",0,1.9679,-1.9679,-1.9679
"2233","2233",0,1.9467,-1.9467,-1.9467
"464","464",1,3.668,-2.668,-1.9406
"2452","2452",0,1.9391,-1.9391,-1.9391
"2902","2902",1,3.6497,-2.6497,-1.9237
"2562","2562",0,1.8977,-1.8977,-1.8977
"271","271",0,1.8929,-1.8929,-1.8929
"1576","1576",2,5.1063,-3.1063,-1.8896
"2284","2284",3,6.4924,-3.4924,-1.8787
"2838","2838",1,3.5944,-2.5944,-1.8726
"499","499",0,1.8688,-1.8688,-1.8688
"532","532",1,3.5881,-2.5881,-1.8668
"1914","1914",0,1.8475,-1.8475,-1.8475
"2121","2121",0,1.8465,-1.8465,-1.8465
"2374","2374",0,1.8405,-1.8405,-1.8405
"2092","2092",3,6.4396,-3.4396,-1.8372
"2961","2961",1,3.5559,-2.5559,-1.8371
"1720","1720",11,16.5026,-5.5026,-1.8348
"2664","2664",2,5.0337,-3.0337,-1.8283
"2934","2934",0,1.8251,-1.8251,-1.8251
"1793","1793",5,9.0636,-4.0636,-1.8219
"607","607",0,1.8178,-1.8178,-1.8178
"1295","1295",1,3.5309,-2.5309,-1.8141
"2026","2026",2,5.0118,-3.0118,-1.8099
"2187","2187",1,3.5223,-2.5223,-1.8062
