"","ID","City","County","State","ST","zip","state_code","county_code","Fips"
"1",1,"Danville","Caledonia County","Vermont","VT","05828","50","005","50005"
"2",2,"Parma","Cuyahoga County","Ohio","OH","","39","035","39035"
"3",3,"Six Mile","Pickens County","South Carolina","SC","29682","45","077","45077"
"4",4,"Lamar","Barton County","Missouri","MO","64759","29","011","29011"
"5",5,"New York","New York County","New York","NY","10029","36","061","36061"
"6",6,"Nashville","Davidson County","Tennessee","TN","37204","47","037","47037"
"7",7,"New York","New York County","New York","NY","10027","36","061","36061"
"8",8,"Wilmington","New Castle County","Delaware","DE","19801","10","003","10003"
"9",9,"Washington","District Of Columbia ","District Of Columbia","DC","20009",NA,NA,"11001"
"10",10,"Washington","District Of Columbia ","District Of Columbia","DC","20011",NA,NA,"11001"
"11",11,"Portland","Multnomah County","Oregon","OR","97212","41","051","41051"
"12",12,"Bronx","Bronx County","New York","NY","10452","36","005","36005"
"13",13,"New York","New York County","New York","NY","10033","36","061","36061"
"14",14,"Minneapolis","Hennepin County","Minnesota","MN","55413","27","053","27053"
"15",15,"Richmond","Richmond City County","Virginia","VA","23219",NA,NA,"51760"
"16",16,"Philadelphia","Philadelphia County","Pennsylvania","PA","19146","42","101","42101"
"17",17,"Scottsbluff","Scotts Bluff County","Nebraska","NE","69361","31","157","31157"
"18",18,"Charleston","Coles County","Illinois","IL","61920","17","029","17029"
"19",19,"Chiefland","Levy County","Florida","FL","32626","12","075","12075"
"20",20,"Woodinville","King County","Washington","WA","98072","53","033","53033"
"21",21,"Topeka","Shawnee County","Kansas","KS","66604","20","177","20177"
"22",22,"Philadelphia","Philadelphia County","Pennsylvania","PA","19146","42","101","42101"
"23",23,"Highlands","Monmouth County","New Jersey","NJ","07732","34","025","34025"
"24",24,"North Logan","Cache County","Utah","UT","84341","49","005","49005"
"25",25,"Philadelphia","Philadelphia County","Pennsylvania","PA","19129","42","101","42101"
"26",26,"Philadelphia","Philadelphia County","Pennsylvania","PA","19146","42","101","42101"
"27",27,"Amherst","Amherst County","Virginia","VA","24521","51","009","51009"
"28",28,"Dayton","Montgomery County","Ohio","OH","45402","39","113","39113"
"29",29,"Morris","Grundy County","Illinois","IL","60450","17","063","17063"
"30",30,"Rosemary Beach","Walton County","Florida","FL","32461","12","131","12131"
"31",31,"Ewing","Mercer County","New Jersey","NJ","08618","34","021","34021"
"32",32,"Baltimore","Baltimore County","Maryland","MD","21218","24","005","24005"
"33",33,"Philadelphia","Philadelphia County","Pennsylvania","PA","19121","42","101","42101"
"34",34,"Indianapolis","Marion County","Indiana","IN","46208","18","097","18097"
"35",35,"Sparks","Washoe County","Nevada","NV","89431","32","031","32031"
"36",36,"Rochester","Monroe County","New York","NY","14609","36","055","36055"
"37",37,"Philadelphia","Philadelphia County","Pennsylvania","PA","19133","42","101","42101"
"38",38,"Loveland","Larimer County","Colorado","CO","","08","069","08069"
"39",39,"Indianapolis","Marion County","Indiana","IN","46226","18","097","18097"
"40",40,"Philadelphia","Philadelphia County","Pennsylvania","PA","19139","42","101","42101"
"41",41,"New York","New York County","New York","NY","10019","36","061","36061"
"42",42,"Philadelphia","Philadelphia County","Pennsylvania","PA","19143","42","101","42101"
"43",43,"Chicago","Cook County","Illinois","IL","60637","17","031","17031"
"44",44,"New York","New York County","New York","NY","10024","36","061","36061"
"45",45,"New York","New York County","New York","NY","10028","36","061","36061"
"46",46,"Dothan","Houston County","Alabama","AL","","01","069","01069"
"47",47,"Cedar Rapids","Linn County","Iowa","IA","52401","19","113","19113"
"48",48,"New York","New York County","New York","NY","10128","36","061","36061"
"49",49,"New York","New York County","New York","NY","10025","36","061","36061"
"50",50,"Salina","Saline County","Kansas","KS","67401","20","169","20169"
"51",51,"Salt Lake City","Salt Lake County","Utah","UT","84110","49","035","49035"
"52",52,"Boynton Beach","Palm Beach County","Florida","FL","33473","12","099","12099"
"53",53,"Tallahassee","Leon County","Florida","FL","32303","12","073","12073"
"54",54,"Annapolis","Anne Arundel County","Maryland","MD","21401","24","003","24003"
"55",55,"Abbeville","Abbeville County","South Carolina","SC","29620","45","001","45001"
"56",56,"Abbeville","Henry County","Alabama","AL","","01","067","01067"
"57",57,"Abbotsford","Clark County","Wisconsin","WI","54405","55","019","55019"
"58",58,"Minneapolis","Hennepin County","Minnesota","MN","","27","053","27053"
"59",59,"Aberdeen","Brown County","South Dakota","SD","57401","46","013","46013"
"60",60,"Aberdeen","Grays Harbor County","Washington","WA","98520","53","027","53027"
"61",61,"Abilene","Dickinson County","Kansas","KS","67410","20","041","20041"
"62",62,"Abingdon","Washington County","Virginia","VA","24210","51","191","51191"
"63",63,"New York","New York County","New York","NY","10014","36","061","36061"
"64",64,"Abington","Plymouth County","Massachusetts","MA","02351","25","023","25023"
"65",65,"Clarks Summit","Lackawanna County","Pennsylvania","PA","","42","069","42069"
"66",66,"Abita Springs","St. Tammany County","Louisiana","LA","70420",NA,NA,"22103"
"67",67,"Albququerque","Bernalillo County","New Mexico","NM","","35","001","35001"
"68",68,"Mount Bethe","Northhampton County","Pennsylvania","PA","18343",NA,NA,"42095"
"69",69,"Town Hill","Hancock County","Maine","ME","","23","009","23009"
"70",70,"Opelousas","Lafayette County","Louisiana","LA","70570",NA,NA,"22097"
"71",71,"Rome","Oneida County","New York","NY","","36","065","36065"
"72",72,"Birch Tree","Shannon County","Missouri","MO","65438","29","203","29203"
"73",73,"Loxahatchee","Palm Beach County","Florida","FL","33470","12","099","12099"
"74",74,"Acton","Middlesex County","Massachusetts","MA","01720","25","017","25017"
"75",75,"Acushnet","Bristol County","Massachusetts","MA","02743","25","005","25005"
"76",76,"Acworth","Cobb County","Georgia","GA","","13","067","13067"
"77",77,"Ada","Pontotoc County","Oklahoma","OK","74820","40","123","40123"
"78",78,"Ada","Kent County","Michigan","MI","49301","26","081","26081"
"79",79,"Columbia","Adair County","Kentucky","KY","","21","001","21001"
"80",80,"Adairsville","Bartow County","Georgia","GA","30103","13","015","13015"
"81",81,"West Union","Adams County","Ohio","OH","45693","39","001","39001"
"82",82,"Gettysburg","Adams County","Pennsylvania","PA","17325","42","001","42001"
"83",83,"Gettysburg","Adams County","Pennsylvania","PA","17325","42","001","42001"
"84",84,"Adams","Berkshire County","Massachusetts","MA","01220","25","003","25003"
"85",85,"Washington, Dc","District Of Columbia ","District Of Columbia","DC","20009",NA,NA,"11001"
"86",86,"Enola","Cumberland County","Pennsylvania","PA","17025","42","041","42041"
"87",87,"Kealakekua","Hawaii County","Hawaii","HI","96750","15","001","15001"
"88",88,"Brooklyn","Kings County","New York","NY","11231","36","047","36047"
"89",89,"Addison","Dupage County","Illinois","IL","60101",NA,NA,"17043"
"90",90,"Adel","Dallas County","Iowa","IA","50830","19","049","19049"
"91",91,"Victorville","San Bernardino County","California","CA","92392","06","071","06071"
"92",92,"Adrian","Lenawee County","Michigan","MI","49221","26","091","26091"
"93",93,"Rochester","Monroe County","New York","NY","14611","36","055","36055"
"94",94,"Concord","Cabarrus County","North Carolina","NC","28027","37","025","37025"
"95",95,"Toms River","Ocean County","New Jersey","NJ","08753","34","029","34029"
"96",96,"Berlin","Worcester County","Maryland","MD","21811","24","047","24047"
"97",97,"Memphis","Shelby County","Tennessee","TN","38120","47","157","47157"
"98",98,"Gilbert","Maricopa County","Arizona","AZ","85233","04","013","04013"
"99",99,"Phoenix","Maricopa County","Arizona","AZ","","04","013","04013"
"100",100,"Aiken","Aiken County","South Carolina","SC","29801","45","003","45003"
"101",101,"Honolulu","Honolulu County","Hawaii","HI","96822","15","003","15003"
"102",102,"Brooksville","Hernando County","Florida","FL","34604","12","053","12053"
"103",103,"Pahoa","Hawaii County","Hawaii","HI","","15","001","15001"
"104",104,"Baker","Okaloosa County","Florida","FL","32531","12","091","12091"
"105",105,"Akron","Plymouth County","Iowa","IA","51031","19","149","19149"
"106",106,"Hogansburg","Franklin County","New York","NY","","36","033","36033"
"107",107,"Gulf Shores","Baldwin County","Alabama","AL","36542","01","003","01003"
"108",108,"Gainesville","Alachua County","Florida","FL","32653","12","001","12001"
"109",109,"Burlington","Alamance County","North Carolina","NC","27215","37","001","37001"
"110",110,"Alameda","Alameda County","California","CA","","06","001","06001"
"111",111,"Alamo","Lincoln County","Nevada","NV","89001","32","017","32017"
"112",112,"San Antonio","Bexar County","Texas","TX","78209","48","029","48029"
"113",113,"Alamogordo","Otero County","New Mexico","NM","88310","35","035","35035"
