"","Fips","State","County","State.ANSI","County.ANSI","Ag.District","AnimalSales","CropSales","FruitNutSales","VeggieSales","AgLandAcres"
"1","01001","ALABAMA","AUTAUGA","01","001","BLACK BELT",8925000,12535000,185500,2523000,13211
"2","01011","ALABAMA","BULLOCK","01","011","BLACK BELT",24766000,12535000,396000,121000,3359
"3","01047","ALABAMA","DALLAS","01","047","BLACK BELT",36114000,27886000,204000,1148000,38177
"4","01051","ALABAMA","ELMORE","01","051","BLACK BELT",10212000,17382000,167000,379000,6589
"5","01063","ALABAMA","GREENE","01","063","BLACK BELT",24766000,1178000,185500,226000,708
"6","01065","ALABAMA","HALE","01","065","BLACK BELT",59287000,4198000,185500,181000,1980
"7","01085","ALABAMA","LOWNDES","01","085","BLACK BELT",68134000,12721000,62000,131000,13805
"8","01087","ALABAMA","MACON","01","087","BLACK BELT",3097000,16470000,229000,404000,20116
"9","01091","ALABAMA","MARENGO","01","091","BLACK BELT",10660000,5229000,185500,292000,2180
"10","01101","ALABAMA","MONTGOMERY","01","101","BLACK BELT",32425000,14435000,54000,68000,900
"11","01105","ALABAMA","PERRY","01","105","BLACK BELT",26056000,11125000,185500,154000,22428
"12","01119","ALABAMA","SUMTER","01","119","BLACK BELT",17039000,4832000,185500,71000,16010
"13","01003","ALABAMA","BALDWIN","01","003","COASTAL PLAINS & GULF COAST",18763000,101620000,2986000,4976000,31445
"14","01013","ALABAMA","BUTLER","01","013","COASTAL PLAINS & GULF COAST",127410000,4619000,342000,91000,2012
"15","01023","ALABAMA","CHOCTAW","01","023","COASTAL PLAINS & GULF COAST",7472000,789000,342000,80000,259
"16","01025","ALABAMA","CLARKE","01","025","COASTAL PLAINS & GULF COAST",1650000,1228000,56000,73000,308
"17","01035","ALABAMA","CONECUH","01","035","COASTAL PLAINS & GULF COAST",12307000,8720000,73000,58000,693
"18","01053","ALABAMA","ESCAMBIA","01","053","COASTAL PLAINS & GULF COAST",3547000,27430000,342000,94000,26922
"19","01097","ALABAMA","MOBILE","01","097","COASTAL PLAINS & GULF COAST",10131000,80448000,1488000,1301000,23285
"20","01099","ALABAMA","MONROE","01","099","COASTAL PLAINS & GULF COAST",14407000,21033000,342000,293000,10932
"21","01129","ALABAMA","WASHINGTON","01","129","COASTAL PLAINS & GULF COAST",24043000,7227000,342000,224000,726
"22","01131","ALABAMA","WILCOX","01","131","COASTAL PLAINS & GULF COAST",6698000,2440000,342000,244000,2012
"23","01009","ALABAMA","BLOUNT","01","009","MOUNTAINS & EASTERN VALLEY",229615000,13240000,167000,4828000,5140
"24","01015","ALABAMA","CALHOUN","01","015","MOUNTAINS & EASTERN VALLEY",73796000,13011000,167000,389000,4213
"25","01019","ALABAMA","CHEROKEE","01","019","MOUNTAINS & EASTERN VALLEY",112635000,39443000,28000,121000,5419
"26","01029","ALABAMA","CLEBURNE","01","029","MOUNTAINS & EASTERN VALLEY",114393000,3062000,167000,112000,2035
"27","01043","ALABAMA","CULLMAN","01","043","MOUNTAINS & EASTERN VALLEY",452121000,18602000,167000,4234000,9586
"28","01049","ALABAMA","DE KALB","01","049","MOUNTAINS & EASTERN VALLEY",548235000,25045000,167000,3556000,6296
"29","01055","ALABAMA","ETOWAH","01","055","MOUNTAINS & EASTERN VALLEY",87215000,6214000,167000,1368000,2265
"30","01071","ALABAMA","JACKSON","01","071","MOUNTAINS & EASTERN VALLEY",122922000,30567000,317000,2029000,11923
"31","01095","ALABAMA","MARSHALL","01","095","MOUNTAINS & EASTERN VALLEY",275351000,8255000,316000,236000,3752
"32","01115","ALABAMA","SAINT CLAIR","01","115","MOUNTAINS & EASTERN VALLEY",50515000,7736000,112000,5267000,3777
"33","01033","ALABAMA","COLBERT","01","033","NORTHERN VALLEY",22360000,37831000,39000,131000,4728
"34","01059","ALABAMA","FRANKLIN","01","059","NORTHERN VALLEY",133052000,6334000,85500,125000,4728
"35","01077","ALABAMA","LAUDERDALE","01","077","NORTHERN VALLEY",32070000,40271000,70000,175000,4728
"36","01079","ALABAMA","LAWRENCE","01","079","NORTHERN VALLEY",153906000,58988000,101000,150000,55063
"37","01083","ALABAMA","LIMESTONE","01","083","NORTHERN VALLEY",52807000,78594000,85500,372000,60316
"38","01089","ALABAMA","MADISON","01","089","NORTHERN VALLEY",5763000,64597000,85500,523000,35716
"39","01093","ALABAMA","MARION","01","093","NORTHERN VALLEY",102122000,3222000,85500,32000,119
"40","01103","ALABAMA","MORGAN","01","103","NORTHERN VALLEY",88969000,10767000,118000,344000,3207
"41","01133","ALABAMA","WINSTON","01","133","NORTHERN VALLEY",26759000,972000,85500,37000,4272
"42","01007","ALABAMA","BIBB","01","007","UPPER PLAINS & PIEDMONT",1953000,2246000,113000,16000,692
"43","01017","ALABAMA","CHAMBERS","01","017","UPPER PLAINS & PIEDMONT",7378000,1681000,132000,120000,2345
"44","01021","ALABAMA","CHILTON","01","021","UPPER PLAINS & PIEDMONT",7791000,6700000,2628000,1385000,11564
"45","01027","ALABAMA","CLAY","01","027","UPPER PLAINS & PIEDMONT",80348000,981000,172000,47000,1042
"46","01037","ALABAMA","COOSA","01","037","UPPER PLAINS & PIEDMONT",1407000,300000,51000,10000,460
"47","01057","ALABAMA","FAYETTE","01","057","UPPER PLAINS & PIEDMONT",16754000,7856000,113000,226000,2345
"48","01073","ALABAMA","JEFFERSON","01","073","UPPER PLAINS & PIEDMONT",3577000,1365000,64000,287000,633
"49","01075","ALABAMA","LAMAR","01","075","UPPER PLAINS & PIEDMONT",7197000,3162000,25000,137000,1446
"50","01081","ALABAMA","LEE","01","081","UPPER PLAINS & PIEDMONT",14532000,3162000,94000,174000,4383
"51","01107","ALABAMA","PICKENS","01","107","UPPER PLAINS & PIEDMONT",80930000,7861000,61000,97000,23869
"52","01111","ALABAMA","RANDOLPH","01","111","UPPER PLAINS & PIEDMONT",150011000,2700000,26000,376000,1564
"53","01117","ALABAMA","SHELBY","01","117","UPPER PLAINS & PIEDMONT",2649000,13893000,220000,238000,10383
"54","01121","ALABAMA","TALLADEGA","01","121","UPPER PLAINS & PIEDMONT",28686000,11698000,275000,100000,16158
"55","01123","ALABAMA","TALLAPOOSA","01","123","UPPER PLAINS & PIEDMONT",14532000,1999000,248000,83000,4555
