"","StateCode","CountyCode","AreaName"
"3","01","001","Autauga County"
"4","01","003","Baldwin County"
"5","01","005","Barbour County"
"6","01","007","Bibb County"
"7","01","009","Blount County"
"8","01","011","Bullock County"
"9","01","013","Butler County"
"10","01","015","Calhoun County"
"11","01","017","Chambers County"
"12","01","019","Cherokee County"
"13","01","021","Chilton County"
"14","01","023","Choctaw County"
"15","01","025","Clarke County"
"16","01","027","Clay County"
"17","01","029","Cleburne County"
"18","01","031","Coffee County"
"19","01","033","Colbert County"
"20","01","035","Conecuh County"
"21","01","037","Coosa County"
"22","01","039","Covington County"
"23","01","041","Crenshaw County"
"24","01","043","Cullman County"
"25","01","045","Dale County"
"26","01","047","Dallas County"
"27","01","049","DeKalb County"
"28","01","051","Elmore County"
"29","01","053","Escambia County"
"30","01","055","Etowah County"
"31","01","057","Fayette County"
"32","01","059","Franklin County"
"33","01","061","Geneva County"
"34","01","063","Greene County"
"35","01","065","Hale County"
"36","01","067","Henry County"
"37","01","069","Houston County"
"38","01","071","Jackson County"
"39","01","073","Jefferson County"
"40","01","075","Lamar County"
"41","01","077","Lauderdale County"
"42","01","079","Lawrence County"
"43","01","081","Lee County"
"44","01","083","Limestone County"
"45","01","085","Lowndes County"
"46","01","087","Macon County"
"47","01","089","Madison County"
"48","01","091","Marengo County"
"49","01","093","Marion County"
"50","01","095","Marshall County"
"51","01","097","Mobile County"
"52","01","099","Monroe County"
"53","01","101","Montgomery County"
"54","01","103","Morgan County"
"55","01","105","Perry County"
"56","01","107","Pickens County"
"57","01","109","Pike County"
"58","01","111","Randolph County"
"59","01","113","Russell County"
"60","01","115","St. Clair County"
"61","01","117","Shelby County"
"62","01","119","Sumter County"
"63","01","121","Talladega County"
"64","01","123","Tallapoosa County"
"65","01","125","Tuscaloosa County"
"66","01","127","Walker County"
"67","01","129","Washington County"
"68","01","131","Wilcox County"
"69","01","133","Winston County"
"532","02","013","Aleutians East Borough"
"533","02","016","Aleutians West Census Area"
"534","02","020","Anchorage Municipality"
"535","02","050","Bethel Census Area"
"536","02","060","Bristol Bay Borough"
"537","02","068","Denali Borough"
"538","02","070","Dillingham Census Area"
"539","02","090","Fairbanks North Star Borough"
"540","02","100","Haines Borough"
"541","02","105","Hoonah-Angoon Census Area"
"542","02","110","Juneau City and Borough"
"543","02","122","Kenai Peninsula Borough"
"544","02","130","Ketchikan Gateway Borough"
"545","02","150","Kodiak Island Borough"
"546","02","158","Kusilvak Census Area"
"547","02","164","Lake and Peninsula Borough"
"548","02","170","Matanuska-Susitna Borough"
"549","02","180","Nome Census Area"
"550","02","185","North Slope Borough"
