Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"13,211",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"3,359",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"38,177",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"6,589",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),708,22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"1,980",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"13,805",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"20,116",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"2,180",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),900,22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"22,428",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"16,010",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"31,445",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"2,012",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),259,22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),308,22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),693,22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"26,922",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"23,285",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"10,932",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),726,22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION), (D),(D)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"5,140",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"4,213",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"5,419",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"2,035",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"9,586",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"6,296",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"2,265",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"11,923",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"3,752",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"3,777",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION), (D),(D)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION), (D),(D)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"4,728",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"55,063",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"60,316",22.4
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"35,716",22.4
