Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,8925000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,36114000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,10212000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,24766000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,59287000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,68134000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,3097000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,10660000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,32425000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,26056000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,17039000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,18763000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,127410000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,7472000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1650000.00,12.70
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,12307000.00,12.70
