Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,12535000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,27886000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,17382000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1178000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,4198000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,12721000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,16470000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,5229000.00,16.30
CENSUS,2017,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,14435000.00,16.30
